TIMESTAMP,S1_Arm_Left_w,S1_Arm_Left_x,S1_Arm_Left_y,S1_Arm_Left_z,S2_Arm_Right_w,S2_Arm_Right_x,S2_Arm_Right_y,S2_Arm_Right_z,S3_Leg_Left_w,S3_Leg_Left_x,S3_Leg_Left_y,S3_Leg_Left_z,S4_Leg_Right_w,S4_Leg_Right_x,S4_Leg_Right_y,S4_Leg_Right_z,S5_Head_w,S5_Head_x,S5_Head_y,S5_Head_z
328610499,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
328627166,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.002,0.001,1.0,0.001,-0.0,0.0,1.0,0.001,0.0,0.0
328643833,1.0,-0.0,0.001,-0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,-0.002,0.001,1.0,0.001,-0.0,0.0,1.0,0.001,0.0,0.001
328660500,1.0,-0.0,0.001,-0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,-0.002,0.001,1.0,0.001,-0.0,0.0,1.0,0.001,0.0,0.001
328348967,1.0,-0.0,0.001,-0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,-0.003,0.001,1.0,0.001,-0.0,0.0,1.0,0.001,0.001,0.001
328398968,1.0,-0.0,0.001,-0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,-0.003,0.001,1.0,0.001,-0.0,0.0,1.0,0.001,0.001,0.001
328465636,1.0,-0.0,0.001,-0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,-0.003,0.001,1.0,0.001,-0.0,0.0,1.0,0.001,0.001,0.001
328515637,1.0,-0.0,0.001,-0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,-0.003,0.001,1.0,0.001,-0.0,0.0,1.0,0.001,0.001,0.001
328582305,1.0,-0.0,0.001,-0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,-0.003,0.002,1.0,0.001,-0.0,0.0,1.0,0.001,0.001,0.001
328648973,1.0,-0.0,0.001,-0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,-0.003,0.002,1.0,0.001,-0.0,0.0,1.0,0.002,0.001,0.001
326622112,1.0,-0.0,0.001,-0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,-0.004,0.002,1.0,0.001,-0.0,0.0,1.0,0.002,0.001,0.001
326688780,1.0,-0.0,0.001,-0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,-0.004,0.002,1.0,0.001,-0.0,0.0,1.0,0.002,0.001,0.001
326755448,1.0,-0.0,0.001,-0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,-0.004,0.002,1.0,0.001,-0.0,0.0,1.0,0.002,0.001,0.001
328860504,1.0,-0.0,0.001,-0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,-0.004,0.002,1.0,0.001,-0.0,0.0,1.0,0.002,0.001,0.001
328965646,1.0,-0.0,0.001,-0.0,1.0,0.0,-0.001,-0.0,1.0,-0.0,-0.004,0.002,1.0,0.001,-0.0,0.0,1.0,0.003,0.001,0.001
329032314,1.0,-0.0,0.001,-0.0,1.0,0.0,-0.001,-0.0,1.0,-0.0,-0.004,0.002,1.0,0.001,-0.0,0.0,1.0,0.003,0.002,0.002
329098982,1.0,-0.0,0.001,-0.0,1.0,0.0,-0.001,-0.001,1.0,0.0,-0.004,0.002,1.0,0.001,-0.0,0.0,1.0,0.003,0.002,0.002
329148983,1.0,-0.0,0.001,-0.0,1.0,0.0,-0.001,-0.001,1.0,0.0,-0.004,0.002,1.0,0.001,-0.0,0.0,1.0,0.003,0.002,0.002
329215651,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.001,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.004,0.002,0.002
332179342,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.001,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.004,0.002,0.002
332246010,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.001,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.004,0.002,0.002
332312678,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.001,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.004,0.002,0.002
332362679,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.001,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.004,0.002,0.002
332429347,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.002,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.005,0.002,0.002
329598992,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.002,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.005,0.002,0.002
329665660,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.002,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.005,0.002,0.002
329715661,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.002,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.005,0.002,0.002
329782329,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.002,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.005,0.003,0.002
329832330,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.002,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.005,0.003,0.002
332812688,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.002,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.003,-0.0,0.0
332879356,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.002,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.003,-0.0,0.0
332929357,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.002,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.003,-0.0,0.0
332996025,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.002,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.003,-0.0,0.0
333046026,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.002,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.003,-0.0,0.0
333112694,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.003,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.003,-0.0,0.0
333196029,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.003,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.002,-0.0,0.0
333262697,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.003,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.002,-0.0,0.0
333329365,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.003,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.002,-0.0,0.0
328405481,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.003,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.002,-0.0,0.0
333446034,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.003,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.002,-0.0,0.0
333512702,1.0,-0.0,0.001,-0.0,1.0,-0.0,-0.003,-0.001,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.002,-0.0,0.0
333562703,1.0,-0.0,0.001,-0.0,1.0,-0.0,0.0,-0.0,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.002,-0.0,0.0
333629371,1.0,-0.0,0.001,-0.0,1.0,-0.0,0.0,-0.0,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.002,-0.0,0.0
333679372,1.0,-0.0,0.001,-0.0,1.0,-0.0,0.0,-0.0,1.0,0.002,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.002,-0.0,0.0
333746040,1.0,-0.0,0.001,-0.0,1.0,-0.0,0.0,-0.0,1.0,0.001,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.002,-0.0,0.0
333829375,1.0,-0.0,0.001,-0.0,1.0,-0.0,0.0,-0.0,1.0,0.001,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.002,-0.0,0.0
333896043,1.0,-0.0,0.001,-0.0,1.0,-0.0,0.0,-0.0,1.0,0.001,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.002,-0.0,0.0
333962711,1.0,-0.0,0.001,-0.0,1.0,-0.0,0.0,-0.0,1.0,0.001,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.002,-0.0,0.0
329022160,1.0,-0.0,0.001,-0.0,1.0,-0.0,0.0,-0.0,1.0,0.001,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.002,-0.0,0.0
329088828,1.0,-0.0,0.001,-0.0,1.0,-0.0,0.0,-0.0,1.0,0.001,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.002,-0.0,0.0
329155496,1.0,-0.0,0.001,-0.0,1.0,-0.0,0.0,-0.0,1.0,0.001,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.002,-0.0,0.0
329205497,1.0,-0.0,0.001,-0.0,1.0,-0.0,0.0,-0.0,1.0,0.001,0.001,-0.0,1.0,0.001,-0.0,0.0,1.0,0.002,-0.0,0.0
